Step,Entropy,Max Depth, Assembly, Omega, Order
0,0,0,1,3,1
1,1.584962500721156,2,3,18,3
2,1.584962500721156,2,3,18,3
3,1.5219280948873621,2,3,34,5
4,1.4488156357251847,2,6,50,7
5,1.3921472236645345,2,8,66,9
6,1.3485878960124222,2,10,82,11
7,1.360964047443681,2,9,72,10
8,1.4056390622295665,2,7,56,8
9,1.3787834934861753,2,6,47,7
10,1.2516291673878228,2,5,38,6
11,1.3709505944546687,2,4,31,5
12,0.8112781244591328,1,3,23,4
13,0.7219280948873623,1,4,30,5
14,0.7219280948873623,1,4,30,5
15,1.1488348542809166,2,6,45,7
16,1.224394445405986,2,8,61,9
17,1.2987949406953985,2,7,54,8
18,1.1488348542809166,2,6,45,7
19,0.6500224216483541,1,5,37,6
20,0.7219280948873623,1,4,30,5
21,1.6644977792004614,3,6,50,7
22,1.6644977792004614,3,6,50,7
23,1.6644977792004614,3,6,50,7
24,1.7924812503605778,3,5,43,6
25,1.3709505944546687,2,4,31,5
26,1.5,2,3,24,4
27,1.4591479170272446,2,5,40,6
28,1.5,2,3,24,4
29,1.4591479170272446,2,5,40,6
30,1.5,2,3,24,4
31,0.9182958340544896,1,2,16,3
32,1.3709505944546687,2,4,31,5
33,1.3709505944546687,2,4,31,5
34,0.8112781244591328,1,3,23,4
35,0.9182958340544896,1,2,16,3
36,0.9182958340544896,1,2,16,3
37,0.9182958340544896,1,2,16,3
38,1.3709505944546687,2,4,31,5
39,0.8112781244591328,1,3,23,4
40,0.9182958340544896,1,2,16,3
41,0.9182958340544896,1,2,16,3
42,1,1,2,9,2
43,1,1,2,9,2
44,1.5,2,3,24,4
45,1.4591479170272446,2,5,40,6
46,1.3709505944546687,2,4,31,5
47,1.3709505944546687,2,4,31,5
48,1.3787834934861753,2,6,47,7
49,1.4591479170272446,2,5,40,6
50,1.5,2,3,24,4
51,1.5,2,3,24,4
52,0.9182958340544896,1,2,16,3
53,0.9182958340544896,1,2,16,3
54,1.9219280948873623,3,4,36,5
55,1.9502120649147465,3,4,58,7
56,1.8910611120726528,3,8,73,9
57,1.867633890971212,3,9,94,11
58,1.8464393446710154,3,8,81,10
59,1.8464393446710154,3,8,81,10
60,1.7841591278514217,3,10,97,12
61,1.8464393446710154,3,8,81,10
62,1.8464393446710154,3,8,81,10
63,1.8464393446710154,3,8,81,10
64,1.8910611120726528,3,7,72,9
65,1.8910611120726528,3,7,72,9
66,1.811278124459133,3,6,60,8
67,1.811278124459133,3,6,60,8
68,1.811278124459133,3,6,60,8
69,1.7219280948873623,3,8,76,10
70,1.811278124459133,3,6,60,8
71,1.811278124459133,3,6,60,8
72,1.8423709931771084,3,5,52,7
73,0.8112781244591328,1,3,23,4
74,0.9182958340544896,1,2,16,3
75,0.9182958340544896,1,2,16,3
76,1.3709505944546687,2,4,31,5
77,1.3787834934861753,2,6,47,7
78,1.3787834934861753,2,6,47,7
79,1.3787834934861753,2,6,47,7
80,1.2516291673878228,2,5,38,6
81,1.2516291673878228,2,5,38,6
82,1.2987949406953985,2,7,54,8
83,1.3787834934861753,2,6,47,7
84,1.4591479170272446,2,5,40,6
85,1.4056390622295665,2,7,56,8
86,1.4591479170272446,2,5,40,6
87,1.4056390622295665,2,7,56,8
88,1.4591479170272446,2,5,40,6
89,1.4056390622295665,2,7,56,8
90,1.3787834934861753,2,6,47,7
91,1.3516441151533924,2,8,63,9
92,1.6767370300521325,3,9,83,11
93,1.6767370300521325,3,9,83,11
94,1.6854752972273344,3,8,74,10
95,1.6258145836939115,3,10,90,12
96,1.224394445405986,2,8,61,9
97,1.061278124459133,2,7,52,8
98,1.061278124459133,2,7,52,8
99,1.1488348542809166,2,6,45,7
100,1.2516291673878228,2,5,38,6
101,1.2516291673878228,2,5,38,6
102,1.3709505944546687,2,4,31,5
103,1.3787834934861753,2,6,47,7
104,1.3787834934861753,2,6,47,7
105,1.2516291673878228,2,5,38,6
106,1.2987949406953985,2,7,54,8
107,1.1488348542809166,2,6,45,7
108,1.224394445405986,2,8,61,9
109,1.061278124459133,2,7,52,8
110,0.5916727785823275,1,6,44,7
111,1.4466166676282082,3,8,64,9
112,1.4466166676282082,3,8,64,9
113,1.6858157091530304,3,10,85,11
114,1.7758589482446405,3,12,106,13
115,1.7758589482446405,3,12,106,13
116,1.7295739585136223,3,11,93,12
117,1.7295739585136223,3,11,93,12
118,1.789929075309999,3,10,86,11
119,1.789929075309999,3,10,86,11
120,1.789929075309999,3,10,86,11
121,1.8464393446710154,3,9,79,10
122,1.8423709931771084,3,6,51,7
123,1.8423709931771084,3,6,51,7
124,1.8423709931771084,3,6,51,7
125,1.8423709931771084,3,6,51,7
126,1.8423709931771084,3,6,51,7
127,1.8423709931771084,3,6,51,7
128,1.8423709931771084,3,6,51,7
129,1.7924812503605778,3,5,43,6
130,1.7924812503605778,3,5,43,6
131,1.6644977792004614,3,6,50,7
132,1.7924812503605778,3,5,43,6
133,1.836591668108979,3,8,71,9
134,1.789929075309999,3,10,86,11
135,1.7381493331928664,3,12,102,13
