Step,Element,Entropy,Max Depth, Assembly, Omega, Order
0,[[A]]=A,0,0,1,3,1
1,[[A]]=A,0,0,1,3,1
2,[A][A]=[A],0,0,1,3,1
3,[A]=[A][A],0,0,1,3,1
4,=[[]],1.584962500721156,2,3,18,3
5,[A]=[A][A],1.5219280948873621,2,3,34,5
6,[[A]]=A,1.5,2,3,24,4
7,[A]=[A][A],1.5,2,3,24,4
8,[A][A]=[A],1.5,2,3,24,4
9,=[[]],1.4591479170272446,2,5,40,6
10,[A][A]=[A],1.5,2,3,24,4
11,[A][A]=[A],1.5,2,3,24,4
12,[A]=[A][A],1.5,2,3,24,4
13,[A][A]=[A],1.5,2,3,24,4
14,[A]=[A][A],1.5,2,3,24,4
15,[A][A]=[A],1.5,2,3,24,4
16,[A]=[A][A],1.5,2,3,24,4
17,[A][A]=[A],1.5,2,3,24,4
18,[A]=[A][A],1.5,2,3,24,4
19,[A]=[A][A],1.5,2,3,24,4
20,[A]=[A][A],1.5,2,3,24,4
21,[[A]]=A,0.9182958340544896,1,2,16,3
22,[[A]]=A,0.9182958340544896,1,2,16,3
23,[A]=[A][A],0.9182958340544896,1,2,16,3
24,[A]=[A][A],0.9182958340544896,1,2,16,3
25,=[[]],1.9219280948873623,3,4,36,5
26,[[A]]=A,1.5,2,3,24,4
27,=[[]],1.4591479170272446,2,5,40,6
28,[A]=[A][A],1.4488156357251847,2,5,50,7
29,=[[]],1.3921472236645345,2,7,66,9
30,=[[]],1.3485878960124222,2,9,82,11
31,[A][A]=[A],1.3921472236645345,2,7,66,9
32,[A]=[A][A],1.3921472236645345,2,7,66,9
33,[A][A]=[A],1.4488156357251847,2,5,50,7
34,[A][A]=[A],1.4591479170272446,2,5,40,6
35,[A]=[A][A],1.4591479170272446,2,5,40,6
36,=[[]],1.4056390622295665,2,7,56,8
37,[A]=[A][A],1.4056390622295665,2,7,56,8
38,[A][A]=[A],1.4591479170272446,2,5,40,6
39,[A]=[A][A],1.4591479170272446,2,5,40,6
40,[[A]]=A,1.3709505944546687,2,4,31,5
41,=[[]],1.8423709931771084,3,6,51,7
42,=[[]],1.8910611120726528,3,7,72,9
43,[[A]]=A,1.811278124459133,3,6,60,8
44,=[[]],2.1709505944546685,4,8,87,10
45,=[[]],2.084962500721156,4,10,103,12
46,=[[]],2.005977711423774,4,12,119,14
47,[A][A]=[A],2.084962500721156,4,10,103,12
48,[A]=[A][A],2.084962500721156,4,10,103,12
49,[A][A]=[A],2.1709505944546685,4,8,87,10
50,[A]=[A][A],2.1180782093497093,4,9,94,11
51,[A]=[A][A],2.1180782093497093,4,9,94,11
52,[A][A]=[A],2.1709505944546685,4,8,87,10
53,[[A]]=A,2.197159723424149,4,7,79,9
54,[[A]]=A,1.3709505944546687,2,4,31,5
55,[[A]]=A,0.8112781244591328,1,3,23,4
56,[A]=[A][A],0.8112781244591328,1,3,23,4
57,=[[]],1.2516291673878228,2,5,38,6
58,[[A]]=A,0.7219280948873623,1,4,30,5
59,=[[]],1.1488348542809166,2,6,45,7
60,[A]=[A][A],1.1488348542809166,2,6,45,7
61,=[[]],1.6577427265048887,3,8,65,9
62,[A]=[A][A],1.6577427265048887,3,8,65,9
63,=[[]],1.6171895725927152,3,10,81,11
64,=[[]],1.573402452417767,3,12,97,13
65,[A]=[A][A],1.573402452417767,3,12,97,13
66,[[A]]=A,1.280672129520887,2,11,86,12
67,=[[]],1.2638091738835462,2,13,102,14
68,=[[]],1.2475562489182659,2,15,118,16
69,=[[]],1.2326602568158207,2,17,134,18
70,[[A]]=A,1.2210477851797181,2,16,125,17
71,[A][A]=[A],1.2475562489182659,2,15,118,16
72,=[[]],1.7233083338141042,4,17,144,18
73,=[[]],1.6783898247235196,4,19,160,20
74,[A][A]=[A],1.7120954362128464,4,18,153,19
75,[A]=[A][A],1.7120954362128464,4,18,153,19
76,[[A]]=A,1.7233083338141042,4,17,144,18
77,=[[]],1.6783898247235196,4,19,160,20
78,=[[]],1.6388067184095578,4,21,176,22
79,[A]=[A][A],1.6388067184095578,4,21,176,22
80,[A]=[A][A],1.6388067184095578,4,21,176,22
81,[[A]]=A,1.6444492199495464,4,20,167,21
82,[A]=[A][A],1.8030741894285698,4,24,210,25
83,[A][A]=[A],1.8327230088457283,4,23,203,24
84,[A]=[A][A],1.8327230088457283,4,23,203,24
85,[A][A]=[A],1.8618540887146815,4,22,196,23
86,[[A]]=A,1.8743968275792589,4,21,187,22
87,[A]=[A][A],1.8743968275792589,4,21,187,22
88,[A]=[A][A],1.8743968275792589,4,21,187,22
89,[A]=[A][A],1.8327230088457283,4,23,203,24
90,[[A]]=A,1.7386163993174357,4,22,187,23
91,=[[]],1.7019011889093372,4,24,203,25
92,=[[]],1.6687764916187344,4,26,219,27
93,[[A]]=A,1.5725552071907911,4,25,208,26
94,[[A]]=A,1.5784545358221242,4,24,199,25
95,[A][A]=[A],1.603759374819711,4,23,192,24
96,[A]=[A][A],1.603759374819711,4,23,192,24
97,[A][A]=[A],1.6286457465791397,4,22,185,23
98,[[A]]=A,1.4329283087286118,3,21,170,22
99,[A][A]=[A],1.4519076150714063,3,20,163,21
100,[[A]]=A,1.2344977967946407,2,19,152,20
101,[A]=[A][A],1.2344977967946407,2,19,152,20
102,=[[]],1.2197484934607568,2,21,168,22
103,[A][A]=[A],1.2344977967946407,2,19,152,20
104,=[[]],1.4394969869215133,3,20,172,22
105,=[[]],1.531919635975994,3,21,193,24
106,=[[]],1.5852967004606704,3,23,214,26
107,[A][A]=[A],1.6125474873813834,3,21,198,24
108,[A][A]=[A],1.642423961771975,3,19,182,22
109,[[A]]=A,1.5723516633085879,3,18,171,21
110,[[A]]=A,1.595461844238322,3,17,161,20
111,=[[]],1.5617677112802775,3,19,177,22
112,[[A]]=A,1.580000754875826,3,18,168,21
113,=[[]],1.5479723083288717,3,20,184,23
114,[[A]]=A,1.4609640474436811,3,18,154,20
115,[[A]]=A,1.4652556501132248,3,17,145,19
116,[[A]]=A,1.198192411043098,2,15,116,16
117,[A][A]=[A],1.2309595631140104,2,14,109,15
118,[A]=[A][A],1.2309595631140104,2,14,109,15
119,[A][A]=[A],1.2638091738835462,2,13,102,14
120,[A]=[A][A],1.2638091738835462,2,13,102,14
121,=[[]],1.5306390622295665,3,14,122,16
122,[A]=[A][A],1.5306390622295665,3,14,122,16
123,[A]=[A][A],1.4932133643654213,3,16,138,18
124,[A][A]=[A],1.519728461579561,3,15,131,17
125,[A][A]=[A],1.5435644431995963,3,14,124,16
126,[[A]]=A,1.5628066316931741,3,13,115,15
127,[A][A]=[A],1.5916727785823275,3,12,108,14
128,[A]=[A][A],1.5916727785823275,3,12,108,14
129,[A][A]=[A],1.650022421648354,3,10,92,12
130,=[[]],1.5916727785823275,3,12,108,14
131,=[[]],1.5435644431995963,3,14,124,16
132,=[[]],1.6337314206421327,3,15,145,18
133,[A][A]=[A],1.6774212838293647,3,13,129,16
134,[[A]]=A,1.7055872616982601,3,12,120,15
135,[[A]]=A,1.7273966735744795,3,11,111,14
136,=[[]],1.6774212838293647,3,13,127,16
137,[A]=[A][A],1.684183719779189,3,16,164,20
138,[[A]]=A,1.6457113704075783,3,14,134,17
139,=[[]],1.7002237262558646,3,15,155,19
140,[A][A]=[A],1.722266311943983,3,14,148,18
141,[[A]]=A,1.6894822670191825,3,12,118,15
142,=[[]],1.6457113704075783,3,14,134,17
143,[[A]]=A,1.5216406363433184,3,12,104,14
144,[A][A]=[A],1.573402452417767,3,11,97,13
145,[[A]]=A,1.5510981710072647,3,10,88,12
146,[[A]]=A,0.9864267287308424,2,8,59,9
147,=[[]],1.0957952550009336,2,10,75,11
148,=[[]],1.1401156785146092,2,12,91,13
149,=[[]],1.158938532350277,2,14,107,15
150,[[A]]=A,1.0949143184120975,2,13,98,14
151,=[[]],1.4237949406953985,3,15,118,16
152,[A]=[A][A],1.4237949406953985,3,15,118,16
153,[A][A]=[A],1.4716022614097979,3,14,111,15
154,=[[]],1.608700165519891,3,15,131,17
155,=[[]],1.5779772001172403,3,17,147,19
156,[[A]]=A,1.4627552262645036,3,16,136,18
157,=[[]],1.4366664819166872,3,18,152,20
158,=[[]],1.7455574250275927,4,20,178,22
159,=[[]],1.7091479170272448,4,22,194,24
160,[A][A]=[A],1.7386163993174357,4,21,187,23
161,[[A]]=A,1.7455574250275927,4,20,178,22
162,[A]=[A][A],1.7455574250275927,4,20,178,22
163,=[[]],1.7091479170272448,4,22,194,24
164,[A][A]=[A],1.7386163993174357,4,21,187,23
165,[A]=[A][A],1.7091479170272448,4,22,194,24
166,=[[]],1.6760150508789762,4,24,210,26
167,[[A]]=A,1.4984545358221242,3,23,195,25
168,[A][A]=[A],1.5204260414863775,3,22,188,24
169,=[[]],1.4956321302677145,3,24,204,26
170,=[[]],1.560413791950178,3,25,225,28
171,[A]=[A][A],1.560413791950178,3,25,225,28
